Radar NIS, Time 
4.13346,4033333
8.00049,4033333
1.0233,4066666
2.76425,4066666
4.98558,4066666
3.31581,4100000
2.25598,4100000
11.1116,4100000
4.3218,4133333
1.91088,4133333
6.26612,4133333
1.95804,4166666
0.530509,4166666
6.05975,4166666
4.57797,4200000
3.43062,4200000
7.56602,4200000
4.85775,4233333
2.98619,4233333
10.5902,4233333
2.09252,4266666
3.51915,4266666
5.24095,4266666
4.18315,4300000
3.54752,4300000
14.7453,4300000
0.164475,4333333
0.920439,4333333
6.21443,4333333
0.214647,4366666
1.33288,4366666
5.62222,4366666
5.14429,4400000
8.23536,4400000
7.14511,4400000
2.70095,4433333
3.36315,4433333
9.93391,4433333
5.26711,4466666
11.8975,4466666
3.16783,4466666
2.69656,4500000
1.99268,4500000
15.7678,4500000
3.45965,4533333
9.41431,4533333
1.14169,4533333
4.49208,4566666
12.3004,4566666
0.518123,4566666
1.66012,4600000
5.64639,4600000
1.61856,4600000
0.635644,4633333
1.80836,4633333
5.21324,4633333
2.07156,4666666
2.12928,4666666
6.16427,4666666
9.42663,4700000
18.3251,4700000
3.04717,4700000
1.41466,4733333
7.78142,4733333
7.48833,4733333
0.480494,4766666
4.61562,4766666
3.53597,4766666
3.21408,4800000
9.12415,4800000
0.290731,4800000
1.85777,4833333
3.31927,4833333
3.06529,4833333
2.8166,4866666
8.34667,4866666
0.45336,4866666
7.61543,4900000
13.7719,4900000
2.18247,4900000
7.9727,4933333
19.7372,4933333
2.30646,4933333
2.29339,4966666
7.26136,4966666
3.2389,4966666
0.587454,5000000
2.41767,5000000
2.47321,5000000
1.21659,5033333
5.50376,5033333
5.74933,5033333
5.00744,5066666
10.8211,5066666
1.27922,5066666
15.9771,5100000
19.3594,5100000
6.10117,5100000
2.50686,5133333
2.53651,5133333
2.87142,5133333
5.42963,5166666
10.2525,5166666
0.823488,5166666
21.3535,5200000
27.4526,5200000
7.31484,5200000
9.47923,5233333
8.02202,5233333
3.69612,5233333
8.45657,5266666
23.1588,5266666
6.6183,5266666
6.11597,5300000
16.348,5300000
3.29984,5300000
14.5699,5333333
24.8876,5333333
3.77473,5333333
4.46923,5366666
9.21132,5366666
1.3805,5366666
9.63132,5400000
17.6161,5400000
2.13294,5400000
4.04335,5433333
14.0426,5433333
5.51625,5433333
2.88762,5466666
10.3678,5466666
3.76354,5466666
3.5768,5500000
6.21073,5500000
1.53114,5500000
2.08389,5533333
6.93212,5533333
0.875504,5533333
2.7445,5566666
8.5258,5566666
0.80247,5566666
3.08973,5600000
4.43876,5600000
1.0326,5600000
2.5973,5633333
10.2794,5633333
1.75321,5633333
5.20743,5666666
14.5153,5666666
2.74603,5666666
16.6676,5700000
17.9812,5700000
9.97799,5700000
7.87996,5733333
17.4502,5733333
4.63276,5733333
8.59328,5766666
16.1339,5766666
5.23148,5766666
5.4751,5800000
9.00872,5800000
2.34906,5800000
1.34355,5833333
4.36571,5833333
2.2468,5833333
12.8717,5866666
18.7976,5866666
10.1251,5866666
9.41703,5900000
15.5329,5900000
7.75775,5900000
9.06129,5933333
15.817,5933333
8.45502,5933333
8.74841,5966666
13.6384,5966666
7.26506,5966666
8.62473,6000000
10.4516,6000000
6.53672,6000000
5.97554,6033333
7.88069,6033333
4.44239,6033333
8.53588,6066666
13.0576,6066666
7.2767,6066666
11.679,6100000
14.7103,6100000
9.57621,6100000
10.6302,6133333
16.6674,6133333
9.00445,6133333
8.67085,6166666
15.0713,6166666
7.65199,6166666
2.86419,6200000
8.38215,6200000
3.48362,6200000
10.0816,6233333
12.2756,6233333
7.91138,6233333
6.07186,6266666
14.9125,6266666
6.71011,6266666
4.04205,6300000
9.21757,6300000
3.33822,6300000
4.97806,6333333
2.1646,6333333
4.39454,6333333
8.95046,6366666
16.819,6366666
8.9715,6366666
17.6901,6400000
26.0669,6400000
15.9806,6400000
8.21997,6433333
17.019,6433333
7.65867,6433333
2.64077,6466666
9.22828,6466666
2.37638,6466666
18.0641,6500000
32.7986,6500000
18.6348,6500000
9.89101,6533333
20.3664,6533333
9.64826,6533333
8.09651,6566666
13.8531,6566666
7.05434,6566666
12.2769,6600000
26.7903,6600000
12.1493,6600000
5.13414,6633333
13.605,6633333
5.33946,6633333
9.97158,6666666
20.945,6666666
10.3252,6666666
1.97816,6700000
7.04795,6700000
2.0787,6700000
18.3379,6733333
27.0555,6733333
17.5977,6733333
4.01306,6766666
8.14213,6766666
4.37221,6766666
11.7344,6800000
14.7588,6800000
11.6641,6800000
4.7102,6833333
7.7309,6833333
5.14205,6833333
2.78127,6866666
6.16396,6866666
3.06289,6866666
2.40387,6900000
4.50994,6900000
2.40407,6900000
12.9769,6933333
11.3005,6933333
13.1405,6933333
4.47811,6966666
5.54665,6966666
4.75542,6966666
21.8074,7000000
22.5704,7000000
22.5617,7000000
15.3892,7033333
12.5034,7033333
15.9143,7033333
9.29803,7066666
8.49753,7066666
9.49048,7066666
9.09788,7100000
3.92106,7100000
8.91898,7100000
3.73626,7133333
8.1425,7133333
3.95581,7133333
9.45412,7166666
12.3918,7166666
9.72935,7166666
13.6746,7200000
8.17263,7200000
13.764,7200000
9.39063,7233333
9.65827,7233333
9.44004,7233333
4.00713,7266666
4.74473,7266666
3.80306,7266666
6.48173,7300000
10.273,7300000
6.47146,7300000
2.09264,7333333
4.54279,7333333
1.97147,7333333
2.92092,7366666
2.67367,7366666
2.64004,7366666
1.36892,7400000
8.46237,7400000
1.38434,7400000
6.03323,7433333
3.61598,7433333
5.66263,7433333
6.65822,7466666
4.50151,7466666
6.27573,7466666
6.29055,7500000
1.90047,7500000
4.98946,7500000
10.1361,7533333
14.4424,7533333
7.80007,7533333
5.9043,7566666
11.6683,7566666
3.65497,7566666
18.18,7600000
13.8085,7600000
12.7683,7600000
19.7333,7633333
10.8866,7633333
11.9002,7633333
4.38615,7666666
7.9596,7666666
1.48371,7666666
7.09613,7700000
10.3205,7700000
4.308,7700000
4.33393,7733333
6.06877,7733333
1.18184,7733333
9.38204,7766666
11.2774,7766666
4.69886,7766666
9.73854,7800000
6.59612,7800000
2.52425,7800000
22.7851,7833333
8.13001,7833333
9.76126,7833333
7.58235,7866666
10.3257,7866666
4.27825,7866666
16.292,7900000
5.21285,7900000
5.10246,7900000
10.2094,7933333
13.1956,7933333
2.59705,7933333
30.7148,7966666
6.37357,7966666
13.1285,7966666
2.28274,8000000
25.56,8000000
2.02243,8000000
12.2932,8033333
16.1583,8033333
3.32213,8033333
3.43761,8066666
11.2563,8066666
1.20122,8066666
3.44396,8100000
25.7612,8100000
7.02109,8100000
6.99863,8133333
14.8848,8133333
2.64023,8133333
15.4992,8166666
1.5725,8166666
4.99482,8166666
4.70431,8200000
11.5776,8200000
1.1932,8200000
