Lidar NIS, Time 
0.886841,1766666
0.783138,1766666
1.97767,1800000
1.07705,1800000
3.72737,1800000
1.81953,1833333
3.9213,1833333
1.00555,1833333
0.805671,1866666
0.917805,1866666
1.20122,1866666
3.7095,1900000
5.07009,1900000
9.63451,1900000
4.92329,1933333
3.33613,1933333
11.4615,1933333
7.88642,1966666
6.01394,1966666
9.28153,1966666
3.86513,2000000
1.69492,2000000
8.14531,2000000
4.93394,2033333
2.68197,2033333
10.0599,2033333
1.06481,2066666
0.24407,2066666
4.93785,2066666
0.0488936,2100000
0.592164,2100000
0.988002,2100000
0.414962,2133333
0.909957,2133333
0.503113,2133333
3.3574,2166666
4.24216,2166666
3.39133,2166666
2.51018,2200000
1.56471,2200000
7.12463,2200000
2.89209,2233333
1.58099,2233333
7.76073,2233333
9.52158,2266666
10.0842,2266666
10.5271,2266666
0.0244061,2300000
0.279822,2300000
1.30467,2300000
11.7793,2333333
11.179,2333333
10.8994,2333333
3.49042,2366666
3.56467,2366666
11.4076,2366666
3.60342,2400000
3.56546,2400000
1.26196,2400000
3.34492,2433333
4.73492,2433333
1.62053,2433333
2.24376,2466666
1.42947,2466666
9.22921,2466666
1.41006,2500000
0.459347,2500000
3.36823,2500000
1.48815,2533333
1.36333,2533333
6.29803,2533333
2.21836,2566666
2.47491,2566666
9.52399,2566666
6.75446,2600000
4.25478,2600000
8.11258,2600000
14.7247,2633333
11.5909,2633333
22.1773,2633333
0.985093,2666666
0.43774,2666666
4.8858,2666666
2.31874,2700000
0.95539,2700000
2.41593,2700000
1.07055,2733333
2.49979,2733333
8.9722,2733333
2.34522,2766666
2.13771,2766666
12.1479,2766666
3.07565,2800000
1.11316,2800000
3.06945,2800000
2.39902,2833333
1.0013,2833333
9.00618,2833333
2.25907,2866666
6.07709,2866666
11.5586,2866666
1.12936,2900000
1.77081,2900000
2.07866,2900000
4.571,2933333
3.91171,2933333
0.0423878,2933333
0.980503,2966666
1.96468,2966666
2.39681,2966666
4.17954,3000000
5.35706,3000000
2.19787,3000000
0.64743,3033333
0.52957,3033333
1.7888,3033333
6.41475,3066666
3.1063,3066666
8.43992,3066666
0.255622,3100000
0.0875489,3100000
3.88214,3100000
0.853746,3133333
1.20885,3133333
8.33918,3133333
2.49957,3166666
1.24016,3166666
8.59546,3166666
3.16259,3200000
0.980624,3200000
5.64889,3200000
1.75313,3233333
0.441691,3233333
2.74928,3233333
3.05323,3266666
